member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
1304884,3600,3600,3600.0,36,6.03,109.57,A,A1,Duracell,10,MORTGAGE,110000.0,Not Verified,2011-12-01,1,major_purchase,Holiday,067xx,CT,10.52,1993-08-01,0,84.0,20,22836,16.0,42,3785.02,3785.02,3600.0,185.02,0.0,0.0,2013-05-01,583.45,2014-05-01
1294539,6000,6000,6000.0,36,11.71,198.46,B,B3,Connection Inspection,1,MORTGAGE,84000.0,Verified,2011-12-01,1,medical,Medical,890xx,UT,18.44,2003-10-01,0,8.0,4,0,37.73,14,7164.499852,7164.5,6000.0,1149.5,0.0,0.0,2015-02-01,16.98,2015-07-01
1304855,9200,9200,9200.0,36,6.03,280.01,A,A1,Network Interpreting Service,6,RENT,77385.19,Not Verified,2011-12-01,1,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,2001-01-01,0,84.0,8,7314,23.1,28,9459.96,9459.96,9200.0,259.96,0.0,0.0,2012-07-01,8061.1,2012-07-01
1284848,20250,20250,19142.16108,60,15.27,484.63,C,C4,Archdiocese of Galveston Houston,3,RENT,43370.0,Verified,2011-12-01,1,debt_consolidation,Freedom From Credit Cards,770xx,TX,26.53,1997-11-01,3,84.0,8,17813,85.6,22,27663.04267,25417.68,20250.0,7413.04,0.0,0.0,2015-08-01,6024.09,2015-12-01
1269083,21000,21000,21000.0,36,12.42,701.73,B,B4,Osram Sylvania,10,RENT,105000.0,Verified,2011-12-01,0,debt_consolidation,Debt Cleanup,335xx,FL,13.22,1983-02-01,0,84.0,7,32135,90.3,38,14025.4,14025.4,10694.96,3330.44,0.0,0.0,2013-09-01,701.73,2016-01-01
1304821,10000,10000,10000.0,36,11.71,330.76,B,B3,Value Air,10,OWN,50000.0,Source Verified,2011-12-01,1,credit_card,Credit Card Loan,799xx,TX,11.18,1985-07-01,0,84.0,8,10056,82.4,21,11902.56157,11902.56,10000.0,1902.56,0.0,0.0,2015-01-01,349.21,2016-01-01
1304810,10000,10000,10000.0,36,11.71,330.76,B,B3,Wells Fargo Bank,5,RENT,50000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation,917xx,CA,16.01,2003-04-01,0,84.0,6,17800,91.8,17,11536.31,11536.31,10000.0,1536.31,0.0,0.0,2013-10-01,4942.63,2014-03-01
1304634,6000,6000,6000.0,36,11.71,198.46,B,B3,bmg-educational,1,RENT,76000.0,Not Verified,2011-12-01,0,major_purchase,cash,900xx,CA,2.4,2001-06-01,1,84.0,7,5963,29.7,7,2050.14,2050.14,1305.58,475.25,269.31,2.57,2012-10-01,198.46,2013-03-01
1273773,15000,15000,15000.0,36,9.91,483.38,B,B1,Winfield Pathology Consultants,2,MORTGAGE,92000.0,Verified,2011-12-01,1,credit_card,No more credit card debt!,605xx,IL,29.44,2002-02-01,0,84.0,8,13707,93.9,31,15823.48,15823.48,15000.0,823.48,0.0,0.0,2012-09-01,2447.05,2012-09-01
1304679,15000,15000,8725.0,36,14.27,514.64,C,C2,nyc transit,9,RENT,60000.0,Not Verified,2011-12-01,0,debt_consolidation,consolidation,103xx,NY,15.22,2003-10-01,1,84.0,7,5872,57.6,11,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-01,0.0,2016-01-01
1304764,5000,5000,5000.0,60,16.77,123.65,D,D2,Frito Lay,2,RENT,50004.0,Not Verified,2011-12-01,0,other,Other,150xx,PA,13.97,2003-10-01,0,20.0,14,4345,59.5,22,1609.12,1609.12,629.05,719.11,260.96,2.3,2012-12-01,123.65,2013-05-01
1304678,4000,4000,4000.0,36,11.71,132.31,B,B3,Shands Hospital at the University of Fl,10,MORTGAGE,106000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation,326xx,FL,5.63,1984-08-01,0,18.0,12,6110,37.7,44,4484.79,4484.79,4000.0,484.79,0.0,0.0,2013-04-01,2638.77,2016-01-01
1278806,8500,8500,8500.0,36,11.71,281.15,B,B3,Oakridge homes,1,RENT,25000.0,Source Verified,2011-12-01,1,credit_card,Credit card repayment loan,564xx,MN,12.19,2006-11-01,0,84.0,8,6441,59.1,12,10122.20861,10122.21,8500.0,1622.21,0.0,0.0,2014-12-01,581.59,2015-01-01
1261745,4375,4375,4375.0,36,7.51,136.11,A,A3,No Title,7,MORTGAGE,17108.0,Source Verified,2011-12-01,1,debt_consolidation,Debt Consolidation,141xx,NY,20.34,1987-12-01,0,84.0,6,11210,86.9,12,4898.543558,4898.54,4375.0,523.54,0.0,0.0,2015-01-01,144.94,2014-12-01
1304608,31825,31825,31825.0,36,7.9,995.82,A,A4,Audubon Mutual Housing Corporation,5,MORTGAGE,75000.0,Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.03,1981-11-01,0,84.0,12,23151,27.4,26,34886.08,34886.08,31825.0,3061.08,0.0,0.0,2013-08-01,16966.7,2015-10-01
1299514,10000,10000,9975.0,60,15.96,242.97,C,C5,US Legal Support,2,RENT,29120.0,Verified,2011-12-01,1,debt_consolidation,Brown Eyes Loan,330xx,FL,22.83,1997-02-01,1,68.0,11,16158,63.6,31,11622.36,11593.4,7304.67,4317.69,0.0,0.0,2016-01-01,242.97,2016-01-01
1304289,5000,5000,5000.0,36,8.9,158.77,A,A5,Good Samaritan Society,2,RENT,24044.0,Verified,2011-12-01,1,debt_consolidation,Consolidation,974xx,OR,11.93,2005-04-01,0,45.0,8,2224,29.3,16,5714.592129,5714.59,5000.0,714.59,0.0,0.0,2015-01-01,163.64,2016-01-01
1291365,7000,7000,7000.0,36,15.96,245.97,C,C5,GREG BARRETT DRYWALL,7,RENT,34000.0,Source Verified,2011-12-01,1,credit_card,Credit Card Loan,934xx,CA,6.35,2007-10-01,1,84.0,6,6113,60.5,6,8848.94043,8848.94,7000.0,1848.94,0.0,0.0,2015-01-01,260.74,2014-12-01
1304589,12400,12400,12400.0,36,10.65,403.91,B,B2,Sharp Lawn Inc.,10,RENT,41000.0,Not Verified,2011-12-01,1,credit_card,December 2011 Credit Card Loan,405xx,KY,11.8,2005-07-01,2,84.0,9,11095,57.2,12,14537.45953,14537.46,12400.0,2137.46,0.0,0.0,2015-01-01,417.61,2014-12-01
1304255,10800,10800,10800.0,36,9.91,348.03,B,B1,Department of Justice,2,RENT,55596.0,Source Verified,2011-12-01,1,moving,Moving to better job; help a veteran!,946xx,CA,5.5,2000-12-01,0,84.0,7,2535,13.3,18,12157.2,12157.2,10800.0,1357.2,0.0,0.0,2013-11-01,3483.79,2016-01-01
1304251,15000,15000,15000.0,36,7.9,469.36,A,A4,Gateway Hospice,1,RENT,45000.0,Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,445xx,OH,8.48,2004-11-01,0,84.0,7,6704,50.4,27,16662.6,16662.6,15000.0,1662.6,0.0,0.0,2014-01-01,5872.8,2016-01-01
1304250,6000,6000,6000.0,36,12.42,200.5,B,B4,Cox Communications,1,RENT,36852.0,Source Verified,2011-12-01,1,debt_consolidation,Credit Card Consolidation,850xx,AZ,10.62,2007-04-01,1,84.0,7,7310,66.5,12,7125.283165,7125.28,6000.0,1125.28,0.0,0.0,2014-04-01,1923.53,2016-01-01
1304237,12500,12500,12475.0,60,12.69,282.44,B,B5,United States Infrastructure Corporation,1,RENT,27000.0,Verified,2011-12-01,1,debt_consolidation,Credit card debt,604xx,IL,16.04,2001-12-01,3,84.0,6,10143,50.0,24,13506.54,13479.58,9306.87,4199.67,0.0,0.0,2016-01-01,282.44,2016-01-01
1301955,9600,9600,9600.0,36,7.51,298.67,A,A3,Nucor Building Systems,4,RENT,68004.0,Source Verified,2011-12-01,1,other,Other Loan,292xx,SC,6.63,2003-01-01,0,84.0,6,2896,18.1,11,10749.76265,10749.76,9600.0,1149.76,0.0,0.0,2015-01-01,311.56,2014-12-01
1304567,12000,12000,12000.0,36,7.9,375.49,A,A4,John Wiley Jr.,10,RENT,62300.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation,088xx,NJ,16.7,1994-03-01,0,38.0,15,8601,21.0,25,13516.38296,13516.38,12000.0,1516.38,0.0,0.0,2015-01-01,380.98,2015-09-01
1304202,3000,3000,3000.0,36,18.25,108.84,D,D5,No Title,9,MORTGAGE,65000.0,Not Verified,2011-12-01,1,other,Year End Cleanup,180xx,PA,17.39,1998-09-01,0,84.0,8,43936,98.1,22,3915.027595,3915.03,3000.0,915.03,0.0,0.0,2015-01-01,115.38,2016-01-01
1292332,4400,4400,4400.0,36,16.77,156.37,D,D2,citizens bank,10,RENT,55000.0,Not Verified,2011-12-01,1,debt_consolidation,debt,029xx,RI,20.01,2004-06-01,0,84.0,7,25237,99.0,11,5626.892655,5626.89,4400.0,1226.89,0.0,0.0,2015-01-01,162.44,2015-12-01
1304526,6000,6000,6000.0,36,6.03,182.62,A,A1,"Stewart Enterprises, Inc.",10,MORTGAGE,45600.0,Not Verified,2011-12-01,1,debt_consolidation,Debt-Consolidation ,700xx,LA,5.34,1995-11-01,1,84.0,6,3378,32.5,28,6065.86,6065.86,6000.0,65.86,0.0,0.0,2012-07-01,15.01,2012-06-01
1282787,14000,14000,14000.0,36,9.91,451.15,B,B1,golfers warehouse,6,RENT,80000.0,Not Verified,2011-12-01,1,small_business,Small Business Loan,010xx,MA,10.0,1999-07-01,1,45.0,7,2219,13.4,40,16239.91413,16239.91,14000.0,2239.91,0.0,0.0,2015-01-01,457.91,2016-01-01
1304521,5000,5000,5000.0,36,8.9,158.77,A,A5,STERIS Corporation,10,MORTGAGE,100000.0,Source Verified,2011-12-01,0,debt_consolidation,Debt Consolidation for a better life,441xx,OH,16.33,1995-06-01,0,84.0,17,74351,62.1,35,5021.37,5021.37,4217.38,696.99,107.0,1.07,2014-08-01,158.77,2014-12-01
1304166,10000,10000,10000.0,36,10.65,325.74,B,B2,Costco Wholesale Corp.,6,RENT,27000.0,Verified,2011-12-01,1,other,Other Loan,104xx,NY,11.47,2006-11-01,0,84.0,7,7814,52.3,10,11724.56774,11724.57,10000.0,1724.57,0.0,0.0,2015-01-01,332.92,2016-01-01
1304171,10000,10000,10000.0,36,6.03,304.36,A,A1,Helicoil,10,RENT,60000.0,Not Verified,2011-12-01,1,credit_card,Credit Card Loan,067xx,CT,12.74,1992-09-01,1,84.0,11,14019,19.5,18,10282.67,10282.67,10000.0,282.67,0.0,0.0,2012-07-01,8762.05,2016-01-01
1303701,11000,11000,11000.0,36,6.62,337.75,A,A2,cognizant technology solutions,5,RENT,70000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolitation ,061xx,CT,10.85,2002-01-01,0,84.0,5,11638,36.4,7,12157.38005,12157.38,11000.0,1157.38,0.0,0.0,2015-01-01,346.13,2016-01-01
1304123,15000,15000,15000.0,36,9.91,483.38,B,B1,Caterpillar Inc.,8,MORTGAGE,80000.0,Not Verified,2011-12-01,0,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,1992-04-01,2,84.0,9,11845,63.7,28,16177.77,16177.77,13556.45,2374.34,222.81,36.3708,2014-10-01,483.38,2015-03-01
1302485,25600,25600,25350.0,36,9.91,824.96,B,B1,City of Santa Monica ,9,RENT,110000.0,Verified,2011-12-01,1,credit_card,Credit card refinance loan,913xx,CA,15.71,1999-07-01,0,84.0,11,26088,62.0,27,29695.62268,29405.63,25600.0,4095.62,0.0,0.0,2015-01-01,838.27,2016-01-01
1304117,7000,7000,7000.0,36,10.65,228.02,B,B2,Aerotek Scientific,1,RENT,40000.0,Not Verified,2011-12-01,1,debt_consolidation,Loan 12142011,947xx,CA,7.38,2004-04-01,0,84.0,7,12168,92.9,12,8205.473816,8205.47,7000.0,1205.47,0.0,0.0,2015-01-01,240.27,2014-12-01
1304116,12000,12000,12000.0,36,15.96,421.65,C,C5,Chemat Technology Inc,4,RENT,50000.0,Not Verified,2011-12-01,0,car,Car Loan,914xx,CA,20.88,2006-10-01,2,84.0,11,15793,90.8,11,3521.95,3521.95,1903.66,1039.35,578.94,5.49,2012-08-01,421.65,2012-12-01
1303909,12000,12000,12000.0,36,9.91,386.7,B,B1,Scott & White,1,RENT,46000.0,Not Verified,2011-12-01,1,credit_card,Credit Cards,765xx,TX,8.11,2000-05-01,1,84.0,11,12143,52.1,12,13748.21311,13748.21,12000.0,1748.21,0.0,0.0,2014-07-01,964.73,2014-07-01
1303652,21000,21000,20975.0,60,19.91,555.33,E,E4,Costco,7,RENT,50000.0,Verified,2011-12-01,0,debt_consolidation, Bill pay of,980xx,WA,21.58,1998-09-01,1,84.0,7,19448,97.6,14,18319.14,18297.35,8990.81,9328.33,0.0,0.0,2014-10-01,555.33,2016-01-01
1302790,16000,16000,15950.0,60,19.91,423.11,E,E4,CA Technologies,7,RENT,81000.0,Verified,2011-12-01,1,credit_card,refinance debt,017xx,MA,20.52,1998-12-01,3,84.0,12,27884,75.1,21,20876.1,20810.87,16000.0,4876.1,0.0,0.0,2013-10-01,9931.02,2016-01-01
1302882,10000,10000,10000.0,36,12.42,334.16,B,B4,Netflix,1,OWN,39000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,972xx,OR,18.58,2004-12-01,0,84.0,5,12874,72.7,10,11474.76,11474.76,10000.0,1474.76,0.0,0.0,2013-07-01,5803.94,2015-03-01
1274517,10000,10000,10000.0,36,10.65,325.74,B,B2,DCAA,2,RENT,51400.0,Not Verified,2011-12-01,1,credit_card,My End to Bad Spending Habits Plan,752xx,TX,19.14,2000-10-01,3,84.0,10,10160,59.1,24,10575.94,10575.94,10000.0,575.94,0.0,0.0,2012-08-01,8627.74,2014-09-01
1287308,7100,7100,7100.0,36,16.77,252.33,D,D2,Triple D security ,1,MORTGAGE,33000.0,Verified,2011-12-01,1,debt_consolidation,To pay of all debt,787xx,TX,24.0,2007-04-01,2,84.0,4,6021,91.2,8,9079.334843,9079.33,7100.0,1979.33,0.0,0.0,2015-01-01,262.78,2016-01-01
1287810,13000,13000,13000.0,60,12.69,293.74,B,B5,wrisco,1,MORTGAGE,30000.0,Source Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,077xx,NJ,13.72,2002-05-01,0,84.0,17,17080,58.9,27,17402.23999,17402.24,13000.0,4402.24,0.0,0.0,2016-01-01,3596.46,2016-01-01
1277395,17500,8950,8925.0,60,17.27,223.74,D,D3,No Title,6,RENT,40000.0,Verified,2011-12-01,1,small_business,Start Up,951xx,CA,19.47,2006-05-01,1,84.0,5,10724,58.9,6,10713.52,10683.65,6487.75,4225.77,0.0,0.0,2016-01-01,223.74,2016-01-01
1278095,17675,17675,17675.0,60,14.65,417.25,C,C3,webb candy,1,RENT,50000.0,Source Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,540xx,WI,16.46,2002-07-01,2,84.0,6,6661,57.4,14,21323.43,21323.43,17675.0,3648.43,0.0,0.0,2013-08-01,13814.81,2014-02-01
1303549,8000,8000,8000.0,36,16.77,284.31,D,D2,Omniplex ,1,RENT,62000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,225xx,VA,21.64,2006-07-01,3,84.0,14,6088,66.9,20,10267.26214,10267.26,8000.0,2252.27,0.0,0.0,2014-12-01,606.54,2016-01-01
1303778,10000,10000,9975.0,60,10.65,215.69,B,B2,CEC ENTERTAINMENT INC,10,RENT,45996.0,Verified,2011-12-01,0,debt_consolidation,Consolidation,440xx,OH,21.73,1997-05-01,1,84.0,7,11170,30.1,15,8772.91,8751.08,5495.38,2429.23,847.3,152.514,2015-04-01,1.0,2015-06-01
1303750,3500,3500,3500.0,36,10.65,114.01,B,B2,CPI,7,MORTGAGE,55000.0,Not Verified,2011-12-01,1,debt_consolidation,blessings,437xx,OH,5.39,2005-10-01,1,84.0,9,6611,45.9,12,4103.168128,4103.17,3500.0,603.17,0.0,0.0,2015-01-01,118.32,2014-12-01
1303740,12500,8925,8925.0,60,17.27,223.11,D,D3,grandma kitchen,5,RENT,30000.0,Source Verified,2011-12-01,0,debt_consolidation,allen,559xx,MN,13.16,1995-04-01,0,84.0,7,9844,70.8,28,5577.75,5577.75,2812.82,2742.43,22.5,0.0,2014-02-01,223.11,2016-01-01
1303473,16425,16425,16425.0,36,14.27,563.53,C,C2,"Gen-Probe, Inc",4,RENT,44544.0,Source Verified,2011-12-01,1,debt_consolidation,New Start,921xx,CA,22.71,2002-10-01,1,84.0,10,15747,83.4,18,18172.71,18172.71,16425.0,1747.71,0.0,0.0,2012-11-01,13108.71,2015-07-01
1303528,8200,8200,8200.0,60,21.28,223.14,F,F2,autozone,4,RENT,75000.0,Source Verified,2011-12-01,0,small_business,Small_Business Loan,912xx,CA,12.48,2000-01-01,3,84.0,6,9012,73.9,11,4173.57,4173.57,1525.83,2265.85,381.89,3.6,2013-06-01,223.14,2013-10-01
1303718,15000,15000,15000.0,36,14.65,517.42,C,C3,USAF Civil Service,2,OWN,61000.0,Verified,2011-12-01,1,credit_card,Credit Refinance,325xx,FL,11.88,2004-06-01,1,84.0,8,19397,79.5,18,18562.40042,18562.4,15000.0,3562.4,0.0,0.0,2014-09-01,2533.38,2016-01-01
1303486,20975,13575,13550.0,60,17.58,341.63,D,D4,Dollar Tree Stores,5,MORTGAGE,44000.0,Verified,2011-12-01,1,credit_card,Refinance Loan,300xx,GA,18.79,2000-04-01,0,84.0,13,20657,79.4,21,18097.34458,18064.1,13575.0,4522.34,0.0,0.0,2014-04-01,9245.21,2014-04-01
1292558,6400,6400,6400.0,36,16.77,227.45,D,D2,"Riverside County, California",5,RENT,75000.0,Not Verified,2011-12-01,0,debt_consolidation,Help,923xx,CA,20.22,1994-12-01,0,48.0,9,7159,67.5,27,4776.45,4776.45,3334.25,1431.91,10.29,0.0,2013-10-01,227.45,2016-01-01
1303716,3000,3000,3000.0,36,13.49,101.8,C,C1,Insight Card Services,1,RENT,33600.0,Not Verified,2011-12-01,1,debt_consolidation,Credit Card Consolidation,352xx,AL,18.11,2005-10-01,0,41.0,4,2745,83.2,7,3246.8,3246.8,3000.0,246.8,0.0,0.0,2012-09-01,2539.58,2015-01-01
1299004,12000,12000,12000.0,36,16.77,426.47,D,D2,Genocea Biosciences,3,RENT,50000.0,Not Verified,2011-12-01,1,credit_card,Credit Card Consolidation,013xx,MA,20.57,2005-09-01,1,84.0,13,11443,97.0,19,15346.46687,15346.47,12000.0,3346.47,0.0,0.0,2015-01-01,441.52,2014-12-01
1303514,14400,14400,14400.0,36,8.9,457.25,A,A5,Model Metrics,1,OWN,150000.0,Source Verified,2011-12-01,1,debt_consolidation,Credit Payoff 14400,146xx,NY,14.85,1994-12-01,0,84.0,12,63864,55.0,38,16459.51914,16459.52,14400.0,2059.52,0.0,0.0,2015-01-01,464.02,2014-12-01
1303303,12000,12000,12000.0,36,14.65,413.94,C,C3,Boro of Butler,10,RENT,90000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,074xx,NJ,16.56,1984-12-01,2,40.0,12,17116,78.5,36,12699.48,12699.48,12000.0,699.48,0.0,0.0,2012-06-01,11046.6,2016-01-01
1303482,11000,11000,11000.0,36,13.49,373.24,C,C1,TX Army National Guard,10,MORTGAGE,48000.0,Verified,2011-12-01,1,debt_consolidation,Debt Consolidation,786xx,TX,21.82,1999-12-01,3,74.0,15,11382,65.0,29,13413.21605,13413.22,11000.0,2413.22,0.0,0.0,2014-10-01,1491.29,2014-10-01
1302799,7250,7200,7175.0,60,21.67,197.51,F,F3,Cross Country Travel Corp,1,RENT,75000.0,Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,937xx,CA,24.82,2000-05-01,2,84.0,9,21706,91.2,19,8201.53,8173.07,7200.0,1001.53,0.0,0.0,2012-09-01,6824.7,2016-01-01
1303437,15000,15000,15000.0,36,7.9,469.36,A,A4,Segovia's Transportion Inc.,1,MORTGAGE,52000.0,Not Verified,2011-12-01,1,small_business,Small_Business Loan,799xx,TX,9.65,2003-11-01,1,84.0,11,1616,6.7,29,15557.64,15557.64,15000.0,557.64,0.0,0.0,2012-08-01,312.74,2014-03-01
1279714,18000,18000,18000.0,60,19.91,475.99,E,E4,AVMED HEALTH PLANS,10,MORTGAGE,65000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,331xx,FL,6.81,1989-06-01,0,25.0,10,11745,77.8,40,26027.53964,26027.54,18000.0,8003.76,0.0,0.0,2014-10-01,10783.73,2014-10-01
1303432,35000,22075,22050.0,60,17.27,551.84,D,D3,tutor Per ini Corporation,3,MORTGAGE,150000.0,Verified,2011-12-01,1,home_improvement,Home improvement,115xx,NY,7.51,2003-06-01,1,35.0,11,7334,53.3,31,28871.92,28839.26,22075.0,6796.92,0.0,0.0,2014-02-01,15660.22,2014-02-01
1302869,10000,10000,10000.0,36,14.27,343.09,C,C2,SAP,2,RENT,68000.0,Source Verified,2011-12-01,1,credit_card,CC Refi Loan,191xx,PA,15.39,2006-07-01,1,84.0,9,11303,81.3,15,10671.62,10671.62,10000.0,671.62,0.0,0.0,2012-07-01,8962.31,2013-02-01
1282013,11800,11800,11800.0,36,12.69,395.83,B,B5,Koi Restaurant,6,RENT,42000.0,Source Verified,2011-12-01,1,credit_card,Credit Card Refinancing,114xx,NY,9.86,1996-10-01,0,84.0,4,8940,74.8,13,14243.15837,14243.16,11800.0,2443.16,0.0,0.0,2015-01-01,419.36,2014-12-01
1303403,4500,4500,4500.0,36,6.03,136.96,A,A1,CaseStack,4,RENT,53000.0,Source Verified,2011-12-01,1,major_purchase,Auto Loan,908xx,CA,4.44,2000-10-01,0,84.0,7,8630,13.9,17,4930.30217,4930.3,4500.0,430.3,0.0,0.0,2015-01-01,138.95,2014-12-01
